id,name,alias,category,lead,rpm_repo,rpm_pkg,rpm_pg,deb_repo,deb_pkg,deb_pg
2060,plpgsql_check,plpgsql_check,LANG,t,PGDG,plpgsql_check_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-plpgsql-check,"{17,16,15,14,13,12}"
2070,plprofiler,plprofiler,LANG,t,PGDG,plprofiler_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-plprofiler,"{17,16,15,14,13,12}"
2080,plsh,plsh,LANG,t,PGDG,plsh_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-plsh,"{17,16,15,14,13,12}"
2090,pljava,pljava,LANG,t,PGDG,pljava_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-pljava,"{17,16,15,14,13,12}"
2100,plr,plr,LANG,t,PGDG,plr_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-plr,"{17,16,15,14,13,12}"
2200,pgtap,pgtap,LANG,t,PGDG,pgtap_$v*,"{16,15,14,13,12}",PGDG,postgresql-$v-pgtap,"{17,16,15,14,13,12}"
2210,faker,faker,LANG,t,PGDG,postgresql_faker_$v*,"{17,16,15,14,13,12}",,,
2220,dbt2,dbt2,LANG,t,PGDG,dbt2-pg$v-extensions*,"{17,16,15,14,13,12}",,,
2240,pltcl,pltcl,LANG,t,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2250,pltclu,pltcl,LANG,f,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2260,plperl,plperl,LANG,t,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2261,bool_plperl,plperl,LANG,f,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2262,hstore_plperl,plperl,LANG,f,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2263,jsonb_plperl,plperl,LANG,f,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2270,plperlu,plperlu,LANG,t,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
2271,bool_plperlu,plperlu,LANG,f,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
